Woord,Vertaling,Betekenis,Voorbeeldzin
momenteel,currently,op dit moment,"Ik werk momenteel aan een belangrijk project."
uitdagend,challenging,iets dat moeilijk maar interessant is,"Het project is uitdagend, maar ik leer veel."
oefening,exercise,activiteit om iets te leren,"Elke dag maak ik een oefening in Nederlands."
regelmatig,regularly,vaak en met een vast patroon,"Ik sport regelmatig om fit te blijven."
nadenken,to think,je gedachten gebruiken om iets te begrijpen,"Ik moet eerst nadenken voordat ik antwoord geef."
motivatie,motivation,drijfveer om iets te doen,"Mijn motivatie om te leren is heel sterk."
zinsconstructie,sentence structure,de manier waarop woorden in een zin staan,"Goede zinsconstructie maakt een tekst duidelijk."
spreken,to speak,woorden uitspreken om te communiceren,"Ik probeer Nederlands te spreken met mijn collegaâ€™s."
blij,happy,een gevoel van tevredenheid,"Ik ben blij dat ik vooruitgang zie."
toekomst,future,de tijd die nog moet komen,"In de toekomst wil ik vloeiend Nederlands spreken."
